DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,8,8,4,3,1,2,-1,-1,4,2,4,3,5,10,9,11,15,22,18,7,-1,-3,4,1
2,-4,-9,-12,-10,-6,-5,-1,-1,-5,-6,-5,-5,-4,-2,0,2,1,-2,-2,-5,-7,-5,-4,-4
3,-4,-4,-4,-2,-4,-3,0,1,5,14,19,20,12,-4,-11,-21,-26,-19,-19,-15,-18,-15,-12,-12
4,-12,-14,-15,-15,-14,-13,-10,-10,-9,-8,-8,-8,-9,-8,-9,-7,-7,-8,-7,-4,-4,-3,-3,-1
5,-1,-1,-2,-1,-1,0,0,2,-1,-1,1,5,8,10,6,7,9,6,4,5,4,4,3,1

6,0,-1,-5,-7,-10,-10,-8,-2,-2,1,1,-1,-2,0,3,4,3,3,0,1,1,1,2,1
7,0,-2,-4,-6,-1,1,8,7,7,5,5,2,2,4,6,6,2,1,-1,-2,1,2,5,5
8,7,5,5,4,4,3,3,2,3,2,3,4,3,0,3,5,5,5,4,1,1,3,5,8
9,5,6,7,11,9,6,5,5,5,5,5,5,7,8,6,4,2,1,0,-2,-4,-2,0,0
10,2,4,6,7,5,5,4,4,5,5,7,8,12,14,13,11,11,9,7,6,7,7,8,6

11,7,8,11,15,15,11,11,8,3,-1,0,4,13,22,24,13,6,-2,-6,-11,-12,-8,-8,-9
12,-8,-6,-7,-7,-7,-7,-5,-4,-2,-3,1,1,-2,-1,-5,-7,-2,0,1,-2,-7,-7,-2,-4
13,-8,-6,-6,-6,-4,-2,1,3,1,-1,-2,2,3,4,2,-1,-1,-5,-6,-6,-5,-3,-4,-2
14,-2,-4,-4,-3,-4,-5,-5,-3,-2,-1,-1,-5,-8,-8,-6,-4,-4,-7,-7,-7,-3,0,2,0
15,-1,-2,-2,4,5,3,3,4,5,6,7,6,9,9,7,6,6,6,5,5,5,8,12,15

16,16,15,17,22,24,22,27,30,18,-4,-2,2,5,6,-2,-15,-22,-15,-19,-24,-23,-19,-22,-31
17,-31,-28,-20,-20,-24,-20,-15,-11,-7,-8,-14,-14,-9,-10,-12,-14,-14,-13,-8,-11,-16,-12,-10,-10
18,-14,-22,-26,-22,-18,-15,-12,-10,-17,-17,-14,-13,-14,-17,-19,-20,-22,-21,-20,-19,-19,-19,-12,-12
19,-12,-14,-13,-11,-12,-14,-16,-16,-16,-14,-12,-12,-10,-12,-16,-17,-17,-18,-20,-21,-18,-12,-10,-8
20,-7,-9,-11,-11,-8,-6,-7,-6,-5,-6,-6,-8,-8,-8,-8,-10,-12,-8,-4,-3,-3,-4,-3,-2

21,-3,-5,-6,-4,-3,-3,-1,-1,0,2,0,-5,-6,-7,-10,-9,-9,-8,-12,-17,-19,-19,-18,-19
22,-20,-19,-17,-18,-19,-20,-18,-14,-12,-8,-7,-10,-12,-12,-11,-10,-5,-2,1,3,8,11,12,13
23,18,18,16,16,14,12,12,15,13,13,11,9,6,7,7,7,6,7,5,7,9,14,14,4
24,3,3,2,-3,-6,-6,-6,-7,-2,2,-3,-10,-6,0,3,0,-2,-5,-8,-6,-3,-2,2,0
25,-2,-2,-2,-1,-3,-12,-25,-26,-11,-1,-1,-3,2,5,3,2,0,3,1,0,-6,-12,-10,-6

26,-7,-6,-7,-5,-3,-4,-4,-1,1,-3,-9,-7,-6,-2,-4,-6,-6,-8,-5,-2,-4,-1,0,-2
27,-5,-7,-6,-8,-8,-7,-7,-5,-5,-2,-1,-1,0,3,1,3,2,1,2,3,1,0,3,2
28,5,6,1,-1,-2,-4,0,2,-1,1,2,1,2,3,1,-1,-2,-2,-1,2,3,6,8,9
29,9,9,8,5,10,8,3,7,5,-1,-1,-1,-4,-2,-1,0,0,1,1,-1,-3,-2,1,3
30,6,8,5,1,0,2,4,6,9,8,6,6,7,8,10,13,14,13,14,12,8,7,10,13
